abdomen|البطن
abdomen proper|البطن الحقيقي
abdominal segment|القطعة البطنية
alimentary system|الجهاز الهضمي
amygdala|اللوزة الدماغية
anastomosis|المفاغرة
anatomical boundary entity|حد تشريحي
anatomical cavity|الجوف التشريحي
anatomical cluster|تجمع تشريحي
anatomical compartment space|حيز الحجرة التشريحية
anatomical conduit space|حيز الممر التشريحي
anatomical entity|كيان تشريحي
anatomical junction|موصل تشريحي
anatomical line|خط تشريحي
anatomical lobe|فص تشريحي
anatomical set|مجموعة تشريحية
anatomical space|حيز تشريحي
anatomical structure|بنية تشريحية
angular gyrus|التلفيف الزاوي
aortic valve|الصمام الأبهري
archicortex|القشرة المخية القديمة
arm|العضد
arteria princeps pollicis|الشريان الرئيسي للإبهام
arteria radialis indicis|الشريان الكعبري للسبابة
arterial trunk|الجذع الشرياني
artery|الشريان
arteries|الشرايين
articular disk|القرص المفصلي
aryepiglotticus|العضلة الطرجهالية لسان المزمارية
arytenoid cartilage|الغضروف الطرجهالي
atlas|الأطلس (الفقرة العنقية الأولى)
axial skeletal system|الجهاز الهيكلي المحوري
axial skeleton|الهيكل العظمي المحوري
axis|المحور (الفقرة العنقية الثانية)
azygos vein|الوريد الفرد
back|الظهر
basal ganglion|العقدة القاعدية
basicranium|قاعدة القحف
basilic vein|الوريد البازلي
big toe|إبهام القدم
bile duct|القناة الصفراوية
biliary tree|الشجرة الصفراوية
body|الجسم
body cavity content|محتويات جوف الجسم
body compartment|حجرة الجسم
body proper|الجسم الحقيقي
body wall|جدار الجسم
bone|العظم
bone organ|عضو عظمي
bony pectoral girdle|الحزام الكتفي العظمي
bony pelvis|الحوض العظمي
brachiocephalic artery|الشريان العضدي الرأسي
brachiocephalic vein|الوريد العضدي الرأسي
brachium|الذراع
brainstem|جذع الدماغ
branch|الفرع
branches|الفروع
bronchial tree|الشجرة القصبية
bronchus|القصبة
calcaneal tendon|الوتر العقبي
calcaneus|عظم العقب
callosomarginal artery|الشريان الثفني الهامشي
canine tooth|الناب
capitate|العظم الكبير
capsule|المحفظة
cardinal organ part|جزء أساسي من عضو
cardinal segment|القطعة الأساسية
cardinal tissue part|جزء نسيجي أساسي
cardinal body part|جزء أساسي من الجسم
cardiovascular system|الجهاز القلبي الوعائي
carpal bone|عظم الرسغ
cartilage organ|عضو غضروفي
cartilage organ component|مكوّن عضو غضروفي
cartilaginous skeleton|الهيكل الغضروفي
caudate lobe|الفص المذنب
caudate lobe branch|فرع الفص المذنب
caudate lobe tributary|رافد الفص المذنب
caudate nucleus|النواة المذنبة
cavernous organ|عضو كهفي
cavitated organ|عضو ذو جوف
cavity|الجوف
cardiac chamber|حجرة القلب
cardiac valve|صمام القلب
celiac artery|الشريان البطني
coeliac artery|الشريان البطني
celiac trunk|الجذع البطني
cell part cluster|تجمع أجزاء خلوية
central canal|القناة المركزية
cephalic vein|الوريد الرأسي
cerebral aqueduct|المسال الدماغي
cerebral arterial circle|الدائرة الشريانية الدماغية
cerebral hemisphere|نصف الكرة المخية
cerebral white matter|المادة البيضاء المخية
cervical intervertebral symphysis|الارتفاق بين الفقرات العنقية
cervical rotator|العضلة المدورة العنقية
cervical vertebra|الفقرة العنقية
cervical vertebrae|الفقرات العنقية
cervical vertebral column|العمود الفقري العنقي
chamber|الحجرة
check ligament|الرباط الكابح
cheek|الخد
chest|الصدر
chest wall|جدار الصدر
choroid|المشيمية
choroid plexus|الضفيرة المشيمية
ciliary ganglion|العقدة الهدبية
ciliary body|الجسم الهدبي
cingulate gyrus|التلفيف الحزامي
circumventricular organ|عضو محيط بالبطينات
coccygeus|العضلة العصعصية
commissure|الصوار
common tendinous ring|الحلقة الوترية المشتركة
compartment|الحجرة
constrictor muscle|العضلة المضيقة
content|المحتويات
conus artery|شريان المخروط
conus branch|فرع المخروط
conus elasticus|المخروط المرن
corniculate cartilage|الغضروف القريني
corona ciliaris|الإكليل الهدبي
